Product	Voltage	pressure	pH	TOF_Coverage
CH3CH2OH_g	-1.85	0.0	6.8	0.0052903162812636
CH3CH2OH_g	-1.8414141414141416	0.0	6.8	0.006915942275142
CH3CH2OH_g	-1.8328282828282831	0.0	6.8	0.0090430854752448
CH3CH2OH_g	-1.8242424242424244	0.0	6.8	0.0118268350807004
CH3CH2OH_g	-1.8156565656565655	0.0	6.8	0.0154703125015907
CH3CH2OH_g	-1.8070707070707075	0.0	6.8	0.0202395556833338
CH3CH2OH_g	-1.7984848484848486	0.0	6.8	0.0264830114209361
CH3CH2OH_g	-1.78989898989899	0.0	6.8	0.0346543450199858
CH3CH2OH_g	-1.7813131313131314	0.0	6.8	0.0453425694099505
CH3CH2OH_g	-1.772727272727273	0.0	6.8	0.0593209931018932
CH3CH2OH_g	-1.7641414141414142	0.0	6.8	0.0775997818161274
CH3CH2OH_g	-1.7555555555555555	0.0	6.8	0.101497825210347
CH3CH2OH_g	-1.746969696969697	0.0	6.8	0.1327361256325067
CH3CH2OH_g	-1.7383838383838386	0.0	6.8	0.1735586544049603
CH3CH2OH_g	-1.72979797979798	0.0	6.8	0.2268880466223308
CH3CH2OH_g	-1.7212121212121212	0.0	6.8	0.2965247986347614
CH3CH2OH_g	-1.7126262626262627	0.0	6.8	0.3873994237265687
CH3CH2OH_g	-1.7040404040404042	0.0	6.8	0.5058863377971159
CH3CH2OH_g	-1.6954545454545455	0.0	6.8	0.6601841203352737
CH3CH2OH_g	-1.6868686868686869	0.0	6.8	0.8607554793102884
CH3CH2OH_g	-1.6782828282828284	0.0	6.8	1.1207950876627946
CH3CH2OH_g	-1.66969696969697	0.0	6.8	1.4566438219978146
CH3CH2OH_g	-1.6611111111111112	0.0	6.8	1.887979970084637
CH3CH2OH_g	-1.6525252525252525	0.0	6.8	2.437482266280841
CH3CH2OH_g	-1.643939393939394	0.0	6.8	3.1294959054913662
CH3CH2OH_g	-1.6353535353535356	0.0	6.8	3.987141335477238
CH3CH2OH_g	-1.6267676767676769	0.0	6.8	5.02752215056511
CH3CH2OH_g	-1.6181818181818182	0.0	6.8	6.25551635960928
CH3CH2OH_g	-1.6095959595959597	0.0	6.8	7.658054079018584
CH3CH2OH_g	-1.6010101010101012	0.0	6.8	9.201877211458845
CH3CH2OH_g	-1.5924242424242423	0.0	6.8	10.837012531547623
